"video_id","word","n","totalVideo","freqVideo","date","title","viewCount","likeCount","dislikeCount","commentCount","source"
"Zztw2nc_ERw","jonas",1,1,1,2018-05-08,"Nick Jonas Gets Met Gala Ready: Push-ups, Pizza, and Dreams of Rihanna | Vogue",576880,18053,178,686,"Vogue"
"Zztw2nc_ERw","met",1,1,1,2018-05-08,"Nick Jonas Gets Met Gala Ready: Push-ups, Pizza, and Dreams of Rihanna | Vogue",576880,18053,178,686,"Vogue"
"Zztw2nc_ERw","nick",1,1,1,2018-05-08,"Nick Jonas Gets Met Gala Ready: Push-ups, Pizza, and Dreams of Rihanna | Vogue",576880,18053,178,686,"Vogue"
"Zztw2nc_ERw","pizza",1,1,1,2018-05-08,"Nick Jonas Gets Met Gala Ready: Push-ups, Pizza, and Dreams of Rihanna | Vogue",576880,18053,178,686,"Vogue"
"Zztw2nc_ERw","push",1,1,1,2018-05-08,"Nick Jonas Gets Met Gala Ready: Push-ups, Pizza, and Dreams of Rihanna | Vogue",576880,18053,178,686,"Vogue"
"Zztw2nc_ERw","ready",1,1,1,2018-05-08,"Nick Jonas Gets Met Gala Ready: Push-ups, Pizza, and Dreams of Rihanna | Vogue",576880,18053,178,686,"Vogue"
"Zztw2nc_ERw","rihanna",1,1,1,2018-05-08,"Nick Jonas Gets Met Gala Ready: Push-ups, Pizza, and Dreams of Rihanna | Vogue",576880,18053,178,686,"Vogue"
"Zztw2nc_ERw","ups",1,1,1,2018-05-08,"Nick Jonas Gets Met Gala Ready: Push-ups, Pizza, and Dreams of Rihanna | Vogue",576880,18053,178,686,"Vogue"
"Zztw2nc_ERw","vogue",1,1,1,2018-05-08,"Nick Jonas Gets Met Gala Ready: Push-ups, Pizza, and Dreams of Rihanna | Vogue",576880,18053,178,686,"Vogue"
"_yThFcog0nA","2017",1,1,1,2017-12-27,"45 Beauty Secrets in 5 Minutes—Here’s Everything We Learned in 2017 | Vogue",2787535,61268,1968,1260,"Vogue"
"_yThFcog0nA","45",1,1,1,2017-12-27,"45 Beauty Secrets in 5 Minutes—Here’s Everything We Learned in 2017 | Vogue",2787535,61268,1968,1260,"Vogue"
"_yThFcog0nA","5",1,1,1,2017-12-27,"45 Beauty Secrets in 5 Minutes—Here’s Everything We Learned in 2017 | Vogue",2787535,61268,1968,1260,"Vogue"
"_yThFcog0nA","beauty",1,1,1,2017-12-27,"45 Beauty Secrets in 5 Minutes—Here’s Everything We Learned in 2017 | Vogue",2787535,61268,1968,1260,"Vogue"
"_yThFcog0nA","here’s",1,1,1,2017-12-27,"45 Beauty Secrets in 5 Minutes—Here’s Everything We Learned in 2017 | Vogue",2787535,61268,1968,1260,"Vogue"
"_yThFcog0nA","learned",1,1,1,2017-12-27,"45 Beauty Secrets in 5 Minutes—Here’s Everything We Learned in 2017 | Vogue",2787535,61268,1968,1260,"Vogue"
"_yThFcog0nA","minutes",1,1,1,2017-12-27,"45 Beauty Secrets in 5 Minutes—Here’s Everything We Learned in 2017 | Vogue",2787535,61268,1968,1260,"Vogue"
"_yThFcog0nA","secrets",1,1,1,2017-12-27,"45 Beauty Secrets in 5 Minutes—Here’s Everything We Learned in 2017 | Vogue",2787535,61268,1968,1260,"Vogue"
"_yThFcog0nA","vogue",1,1,1,2017-12-27,"45 Beauty Secrets in 5 Minutes—Here’s Everything We Learned in 2017 | Vogue",2787535,61268,1968,1260,"Vogue"
"-_PFfy36nFU","beauty",1,1,1,2017-10-31,"How Supermodel Natalia Vodianova Combats Jet-Lagged Skin | Beauty Secrets | Vogue",1072191,15113,583,739,"Vogue"
"-_PFfy36nFU","combats",1,1,1,2017-10-31,"How Supermodel Natalia Vodianova Combats Jet-Lagged Skin | Beauty Secrets | Vogue",1072191,15113,583,739,"Vogue"
"-_PFfy36nFU","jet",1,1,1,2017-10-31,"How Supermodel Natalia Vodianova Combats Jet-Lagged Skin | Beauty Secrets | Vogue",1072191,15113,583,739,"Vogue"
"-_PFfy36nFU","lagged",1,1,1,2017-10-31,"How Supermodel Natalia Vodianova Combats Jet-Lagged Skin | Beauty Secrets | Vogue",1072191,15113,583,739,"Vogue"
"-_PFfy36nFU","natalia",1,1,1,2017-10-31,"How Supermodel Natalia Vodianova Combats Jet-Lagged Skin | Beauty Secrets | Vogue",1072191,15113,583,739,"Vogue"
"-_PFfy36nFU","secrets",1,1,1,2017-10-31,"How Supermodel Natalia Vodianova Combats Jet-Lagged Skin | Beauty Secrets | Vogue",1072191,15113,583,739,"Vogue"
"-_PFfy36nFU","skin",1,1,1,2017-10-31,"How Supermodel Natalia Vodianova Combats Jet-Lagged Skin | Beauty Secrets | Vogue",1072191,15113,583,739,"Vogue"
"-_PFfy36nFU","supermodel",1,1,1,2017-10-31,"How Supermodel Natalia Vodianova Combats Jet-Lagged Skin | Beauty Secrets | Vogue",1072191,15113,583,739,"Vogue"
"-_PFfy36nFU","vodianova",1,1,1,2017-10-31,"How Supermodel Natalia Vodianova Combats Jet-Lagged Skin | Beauty Secrets | Vogue",1072191,15113,583,739,"Vogue"
"-_PFfy36nFU","vogue",1,1,1,2017-10-31,"How Supermodel Natalia Vodianova Combats Jet-Lagged Skin | Beauty Secrets | Vogue",1072191,15113,583,739,"Vogue"
"-3tDvMG87Ro","360",1,1,1,2016-07-11,"Rodney Mullen Debuts New Tricks, Captured in 360 Degrees | Vogue",1559592,21898,611,2062,"Vogue"
"-3tDvMG87Ro","captured",1,1,1,2016-07-11,"Rodney Mullen Debuts New Tricks, Captured in 360 Degrees | Vogue",1559592,21898,611,2062,"Vogue"
"-3tDvMG87Ro","debuts",1,1,1,2016-07-11,"Rodney Mullen Debuts New Tricks, Captured in 360 Degrees | Vogue",1559592,21898,611,2062,"Vogue"
"-3tDvMG87Ro","degrees",1,1,1,2016-07-11,"Rodney Mullen Debuts New Tricks, Captured in 360 Degrees | Vogue",1559592,21898,611,2062,"Vogue"
"-3tDvMG87Ro","mullen",1,1,1,2016-07-11,"Rodney Mullen Debuts New Tricks, Captured in 360 Degrees | Vogue",1559592,21898,611,2062,"Vogue"
"-3tDvMG87Ro","rodney",1,1,1,2016-07-11,"Rodney Mullen Debuts New Tricks, Captured in 360 Degrees | Vogue",1559592,21898,611,2062,"Vogue"
"-3tDvMG87Ro","tricks",1,1,1,2016-07-11,"Rodney Mullen Debuts New Tricks, Captured in 360 Degrees | Vogue",1559592,21898,611,2062,"Vogue"
"-3tDvMG87Ro","vogue",1,1,1,2016-07-11,"Rodney Mullen Debuts New Tricks, Captured in 360 Degrees | Vogue",1559592,21898,611,2062,"Vogue"
